length,width,quantity
92,42,59
67,25,59
24,25,59
24,4,59
67,4,59
92,42,51
67,25,51
24,25,51
24,4,51
67,4,51
98,42,7
48,25,7
24.25,25,7
24,4,7
47.875,4,7
23.625,4,7
98,42,3
48,25,3
24.25,25,3
24,4,3
47.875,4,3
23.625,4,3
98,42,5
49,25,5
25,24,5
49,4,5
24,4,5
98,42,4
49,25,4
25,24.25,4
49,4,4
24,4,4
43,22,35
43,4,35
21,4,35
43,22,31
43,4,31
21,4,31
61,22,30
61,4,30
21,4,30
61,22,33
60.875,4,33
21.125,4,33
49,22,64
49,4,64
21,4,64
49,22,65
49,4,65
21,4,65
84,25,1
54,25,1
66,4,1
72,4,1
24,4,1
24,4,1
