height,width,quantity
69,25,16
74,37,16
45,25,16
23,25,16
80.875,25,2
71,42,2
82,25,2
14,25,2
82.75,25,0
70,42,0
41,25,0
23,25,0
82.75,25,2
70,42,2
41,25,2
23,25,2
72,25,2
74,42,2
54,25,2
23,25,2
72.75,25,0
77,42,0
54,25,0
23,25,0
72.75,25,2
77,42,2
54,25,2
23,25,2
69.75,25,2
74,37,2
45,25,2
23,25,2
84,25,26
75,42,26
45,25,26
14,25,26
111.75,42,4
51,25,4
48,25,4
79.25,25,2
76,42,2
45,25,2
11,25,2
72,25,2
71.5,42,2
42,25,2
26,25,2
87,25,2
69.75,25,2
36,25,2
86.75,25,2
45,25,2
59,42,2
15,25,2
108.75,37,4
36.625,25,4
33,25,4
108.75,37,0
36.625,25,0
33,25,0
98.25,25,2
38,25,2
9,25,2
102,25,2
38,25,2
74,37,2
9,25,2
118.75,42,0
24.625,25,0
21,25,0
118.75,42,0
24.625,25,0
21,25,0
124.75,42,0
27.875,25,0
24,25,0
124.75,42,2
27.625,25,2
24,25,2
96,25,10
27,25,10
49.625,22.5,16
49.625,4,16
21.25,4,16
42.625,22.5,4
42.625,4,4
21.25,4,4
55.625,22.5,2
55.625,4,2
21.25,4,2
49.625,22.5,4
49.625,4,4
21.25,4,4
66.625,22.5,28
66.625,4,28
21.25,4,28
55.625,22.5,28
55.625,4,28
21.25,4,28
72.25,22.5,4
72.25,4,4
21.25,4,4
21.25,4,4
58.625,22.5,4
58.625,4,4
21.25,4,4
60.625,22.5,2
60.625,4,2
21.25,4,2
42.625,22.5,2
42.625,4,2
21.25,4,2
48.625,22.5,2
48.625,4,2
21.25,4,2
42.625,22.5,2
42.625,4,2
21.25,4,2
48.625,22.5,2
48.625,4,2
21.25,4,2
42.625,22.5,2
42.625,4,2
21.25,4,2
60.625,22.5,4
60.625,4,4
21.25,4,4
46.625,22.5,4
46.625,4,4
21.25,4,4
42.625,22.5,2
42.625,4,2
21.25,4,2
42.625,22.5,2
42.625,4,2
21.25,4,2
49.625,22.5,2
49.625,4,2
21.25,4,2
42.625,22.5,2
42.625,4,2
21.25,4,2
86.75,22.5,0
86.75,4,0
21.25,4,0
21.25,4,0
61.625,22.5,0
61.625,4,0
21.25,4,0
81.5,22.5,0
81.5,4,0
21.25,4,0
21.25,4,0
58.625,22.5,0
58.625,4,0
21.25,4,0
86.5,22.5,2
86.5,4,2
21.25,4,2
21.25,4,2
55.625,22.5,2
55.625,4,2
21.25,4,2
36.625,22.5,10
36.625,4,10
21.25,4,10
